,emojis,0
0,(ಡωಡ),5132
1,( ゜- ゜)つロ,3482
2,(゜-゜)つロ,2303
3,(ಥ_ಥ),2097
4,(⊙o⊙),1689
5,(✪▽✪),1665
6,(ง •̀_•́)ง,1528
7,(●—●),1439
8,~（￣▽￣）~*,1257
9,(∩_∩),1115
10,_(:з」∠)_,960
11,～(￣▽￣～)~,956
12,╭(°A°`)╮,909
13,(≧∇≦)/,847
14,（1/1）,847
15,（？）,765
16,(●°u°●)​,695
17,(ノ°ο°)ノ,661
18,(๑• . •๑),643
19,( Ĭ ^ Ĭ ),624
20,(⊙o⊙)…,618
21,~\(≧▽≦)/~,612
22,(눈_눈),598
23,(づ ●─● )づ,585
24,_(눈_눈」∠)_,573
25,(｡•ˇ‸ˇ•｡),525
26,╮(￣▽￣)╭,520
27,(๑•ั็ω•็ั๑),515
28,（｡ò ∀ ó｡）,483
29,( •̀∀•́ ),430
30,(╥﹏╥),422
31,ヾ(≧O≦)〃,405
32,╭☞( ￣▽￣)╭☞,399
33,(º﹃º ),394
34,(┯_┯),366
35,(｡･ω･｡)ﾉ♡,366
36,\(≧▽≦)/,364
37,( *・ω・)✄╰ひ╯,358
38,(๑&gt;؂&lt;๑）,338
39,ԅ(¯ㅂ¯ԅ),327
40,(ー_ー),324
41,(๑•̀ㅂ•́)و✧,322
42,(≧v≦),316
43,(๑˙ー˙๑),311
44,(ღ♡‿♡ღ),295
45,Σ(っ °Д °;)っ,285
46,(๑^o^๑),285
47,（√）,272
48,(=_=),260
49,╮(╯▽╰)╭,257
50,(´;︵;`),250
51,(*￣m￣),249
52,(〜￣▽￣)〜,247
53,(ŐдŐ๑),239
54,(°ー°〃),236
55,(&gt;﹏&lt;),231
56,（*/∇＼*）,227
57,(≧▽≦),222
58,(//∇//),214
59,"""(*°ω°*)ﾉ""""",211
60,（ '▿ ' ）,208
61,✺◟(∗❛ัᴗ❛ั∗)◞✺,205
62,(ฅ&gt;ω&lt;*ฅ),204
63,ヾ(●´∇｀●)ﾉ,202
64,(*^▽^*),199
65,(o^^o),194
66,(｀・ω・´),193
67,(╯‵□′)╯︵┻━┻,193
68,~(￣▽￣)~*,191
69,（╯‵□′）╯︵┴─┴,188
70,(～￣▽￣)～,188
71,\(//∇//)\,185
72,(^_^),185
73,(◔◡◔),184
74,ヾ(❀╹◡╹)ﾉ~,183
75,(*꒦ິ⌓꒦ີ),183
76,↖(^ω^)↗,182
77,(´-ω-`),181
78,(°∀°)ﾉ,179
79,(≖_≖ ),177
80,＼(^▽^)／,176
81,(*｀へ´*),176
82,（゜-゜）つロ,176
83,(｢･ω･)｢,174
84,(◦˙▽˙◦),172
85,( ￣▽￣)╭☞╭☞,171
86,(#ﾟДﾟ),169
87,(๑❛ᴗ❛๑),168
88,∠( ᐛ 」∠)＿,168
89,(=・ω・=),167
90,( •̥́ ˍ •̀ू ),164
91,ε=(´ο｀*),163
92,(ღ˘⌣˘ღ),163
93,(￣▽￣)ｄ,163
94,(1/1),162
95,( *・ω・)✄╰ひ╯,160
96,(⑉°з°),158
97,ヽ(ﾟ∀ﾟ)ﾉ,153
98,(~_~;),152
99,(&gt;_&lt;),152
100,(≧∇≦),151
101,╮（╯＿╰）╭,149
102,(づ￣3￣)づ╭❤～,148
103,(^･ｪ･^),148
104,～ヾ(●´∇｀●)ﾉ,147
105,(⁄ ⁄•⁄ω⁄•⁄ ⁄),147
106,(*￣︶￣*),146
107,(´･ω･`),144
108,"""""\(●-●)",144
109,(๑ó﹏ò๑),143
110,(*°▽°*),143
111,(・◇・),143
112,(๑Ő௰Ő๑),140
113,(ノ=Д=)ノ┻━┻,140
114,(￢_￢),138
115,¯\_(ツ)_/¯,137
116,_(:_」∠)_,136
117,_(:3」∠❀)_,136
118,(〜￣△￣)〜,135
119,"""╮(￣▽￣"""")╭",134
120,(゜ロ゜),134
121,(￣∀￣),133
122,(￣∇￣),133
123,(⊙_⊙),132
124,ヾ(◍°∇°◍)ﾉﾞ,131
125,Σ( ° △ °|||)︴,131
126,(/≧▽≦/),131
127,(＃＃)&,128
128,(*°∀°)=,127
129,(*・_・)ノ&,126
130,(ﾟДﾟ),126
131,(๑°3°๑),125
132,(∗❛ั∀❛ั∗)✧*,123
133,(^o^),122
134,(  ಠ    ಠ ノ ),122
135,(๑´∀`๑)ง*,121
136,＠(￣-￣)＠,119
137,( 'ω' )و,117
138,～(￣▽￣～),117
139,(〃'▽'〃),115
140,(=^▽^=),115
141,(/ω＼),114
142,Σ(ŎдŎ|||)ﾉﾉ,114
143,(⊙v⊙),113
144,(･ิϖ･ิ)っ,110
145,\(^o^)/~,109
146,(^O^),108
147,(*^▽^)/★*☆,107
148,（ ’ - ’ * ),107
149,(๑＞ڡ＜)☆,106
150,（︶︿︶）=,106
151,┐（─__─）┌,104
152,(￣▽￣),102
153,³(ˆ⌣ˆc),102
154,ી(･◡･)ʃ,101
155,(*/ω＼*),101
156,╭(╯^╰)╮,99
157,( ・∀・)/,99
158,（☆_☆）,98
159,(*˘︶˘*),97
160,〜(￣▽￣〜),96
161,｛（&gt;A&lt;）｝〃≈≈,96
162,╭( ′• o •′ )╭☞,96
163,(｡&gt;∀&lt;｡),96
