候选词序号(NO.),Word,N,词频(Frequence),互信息(Mut),左信息熵(Ent_L),右信息熵(Ent_R),Mark,TF,IDF,TF-IDF,"最小左右信息熵{min(Ent_L, Ent_R)}"
29517,人指路仙人指路,7,2706,4.1,0.005,2.641,0,0.065987124,1.88414247,0.124329144,0.005
25289,人指路仙人指,6,2711,4.1,0.005,0.024,0,0.066109052,1.883341041,0.124505891,0.005
20155,人指路仙人,5,2735,4.1,0.005,0.104,0,0.066694304,1.879514633,0.125352919,0.005
13761,人指路仙,4,2860,3.1,0.005,0.265,0,0.069742489,1.860112868,0.129728902,0.005
47,业敲,2,2497,5.3,0.067,0.005,0,0.060890558,1.919038292,0.116851312,0.005
6793,汉加油,3,1657,6.1,0.007,6.201,0,0.04040675,2.0970462,0.084734821,0.007
1926,黄昏,2,33,4.8,0.196,4.597,1,0.000804721,3.785151809,0.003045991,0.196
74,汉加,2,1663,5.9,0.007,0.037,0,0.040553063,2.095477404,0.084978027,0.007
20160,妈提笔忘字,5,2570,5.1,0.009,5.264,0,0.062670698,1.906528649,0.119483482,0.009
13795,卷风摧毁,4,1241,6,0.009,0.102,0,0.030262388,2.22250913,0.067258433,0.009
13768,妈提笔忘,4,2604,5.1,0.009,0.134,0,0.063499805,1.900822998,0.12070189,0.009
6811,卷风摧,3,1244,6,0.009,0.027,0,0.030335544,2.221461375,0.06738924,0.009
6772,妈提笔,3,2625,5.1,0.009,0.092,0,0.0640119,1.897336004,0.121452083,0.009
6769,笔忘字,3,2678,6,0.009,5.24,0,0.065304331,1.888658012,0.123337548,0.009
29529,卷风摧毁停车场,7,1224,6,0.01,6.495,0,0.029847835,2.228494637,0.066515739,0.01
25300,卷风摧毁停车,6,1230,6,0.01,0.055,0,0.029994147,2.226372673,0.06677815,0.01
50,卷风,2,2446,5.5,0.01,4.266,0,0.059646898,1.927996757,0.114999026,0.01
6828,择你的,3,1017,5,0.011,0.451,0,0.024800039,2.308882948,0.057260387,0.011
6823,享经验,3,1052,6.8,0.011,6.399,0,0.025653531,2.294202355,0.058854391,0.011
6764,恐龙妈,3,3402,5.1,6.251,0.011,0,0.082959423,1.784768777,0.148063387,0.011
121,经验,2,1074,6.4,0.218,6.42,1,0.026190012,2.285222262,0.059849998,0.218
130,赵本,2,998,6.8,2.553,0.011,0,0.024336715,2.317065238,0.056389756,0.011
127,择你,2,1028,5.2,0.011,0.106,0,0.025068279,2.304215351,0.057762714,0.011
27,龙妈,2,3418,4.4,0.049,0.011,0,0.08334959,1.782731625,0.148589951,0.011
6836,联解体,3,954,6.3,0.012,6.455,0,0.023263753,2.336627354,0.054358723,0.012
136,师早,2,937,4.8,0.012,0.392,0,0.0228492,2.344427888,0.053568302,0.012
135,联解,2,958,5.5,0.012,0.042,0,0.023361295,2.334812119,0.054544236,0.012
2208,拯救,2,27,9.3,1.292,0.229,1,0.000658408,3.869472695,0.002547692,0.229
35,笔忘,2,2717,5.9,0.013,0.149,0,0.066255365,1.882381274,0.124717858,0.013
41,妈提,2,2677,4.9,0.014,0.19,0,0.065279945,1.888820153,0.123302076,0.014
29533,黄磊老师早期作,7,750,5.2,6.509,0.015,0,0.018289114,2.440990789,0.04464356,0.015
25311,磊老师早期作,6,752,5.3,0.029,0.015,0,0.018337885,2.43983575,0.044741428,0.015
14,宜点,2,4677,5.2,0.015,2.914,0,0.114050917,1.646570509,0.187792876,0.015
32218,忘字恐龙妈妈提笔,8,661,6,0.033,0.016,0,0.016118806,2.495772737,0.040228877,0.016
29535,字恐龙妈妈提笔,7,664,4.7,0.042,0.016,0,0.016191963,2.493809081,0.040379663,0.016
6862,国庆快,3,677,5.7,6.393,0.016,0,0.016508974,2.485401032,0.041031421,0.016
6863,庆快乐,3,677,5.7,0.016,6.497,0,0.016508974,2.485401032,0.041031421,0.016
6855,儿出水,3,697,6.7,0.016,6.177,0,0.016996684,2.472775303,0.042028979,0.016
187,豆豌,2,655,4.8,0.951,0.016,0,0.015972493,2.499726887,0.039926871,0.016
181,庆快,2,678,5.6,0.016,0.016,0,0.016533359,2.484760952,0.041081446,0.016
176,儿出,2,698,5.4,0.031,0.016,0,0.017021069,2.47215355,0.042078696,0.016
62,岷挖,2,1868,5.1,0.017,0.295,0,0.045552087,2.045021425,0.093154995,0.017
6874,干翻赵,3,600,6.8,4.184,0.018,0,0.014631291,2.537756254,0.037130651,0.018
6790,岷挖矿,3,1802,5.4,0.018,5.419,0,0.043942645,2.060634999,0.090549753,0.018
208,定输,2,596,6,0.018,0.018,0,0.01453375,2.540656395,0.036925264,0.018
32205,指路仙人指路仙人,8,1906,4.1,0.019,0.019,0,0.046478736,2.036280033,0.094643722,0.019
32204,路仙人指路仙人指,8,1919,4.1,0.074,0.019,0,0.046795747,2.033329497,0.095151173,0.019
29521,路仙人指路仙人,7,1922,4.1,0.074,0.019,0,0.046868904,2.032651442,0.095268145,0.019
942,泰勒,2,92,8,4.721,0.237,1,0.002243465,3.348147777,0.007511451,0.237
1251,冰心,2,62,7.5,0.238,3.773,1,0.0015119,3.517290177,0.005317791,0.238
29520,指路仙人指路仙,7,1927,4.1,0.019,0.09,0,0.046990831,2.031523696,0.095462987,0.019
20201,加油加油加,5,523,5.9,0.371,0.02,0,0.012753609,2.597299439,0.033124942,0.02
1075,帽子,2,77,6.5,4.537,0.273,1,0.001877682,3.424536123,0.006430191,0.273
1566,实话,2,45,8.1,0.307,2.638,1,0.001097347,3.653872894,0.004009566,0.307
13850,油加油加,4,531,5.9,0.121,0.02,0,0.012948693,2.590719094,0.033546426,0.02
239,术踉,2,509,6.4,0.041,0.02,0,0.012412212,2.60906055,0.032384213,0.02
587,截图,2,192,8.4,5.479,0.318,1,0.004682013,3.031073417,0.014191526,0.318
29539,加油加油加油加,7,495,5.9,0.289,0.021,0,0.012070815,2.62114905,0.031639406,0.021
25323,油加油加油加,6,502,5.9,0.114,0.021,0,0.012241514,2.615062741,0.032012327,0.021
6898,战术踉,3,507,6,6.184,0.021,0,0.012363441,2.610767014,0.032278065,0.021
244,磊上,2,501,3.3,0.021,0.254,0,0.012217128,2.615927009,0.031959116,0.021
32222,油加油加油加油加,8,480,5.9,0.118,0.022,0,0.011705033,2.63448565,0.030836742,0.022
13862,WARN,4,457,6.3,0.109,0.022,0,0.011144167,2.655765248,0.029596291,0.022
13775,便宜点便,4,2197,4.8,2.589,0.022,0,0.053574912,1.974603038,0.105789184,0.022
6908,单兵作,3,462,5.4,2.782,0.022,0,0.011266094,2.651049735,0.029866977,0.022
